,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Is hit
81,Into You,7yHEDfrJNd0zWOfXwydNH0,0,Dangerous Woman,Ariana Grande,93,2016-05-20,244453,0.0161,0.636,0.727,1.12e-06,0.151,-5.852,0.106,107.988,4,1
82,Trust Nobody (feat. Selena Gomez & Tory Lanez),2wDjpPW3HZdA9quPPmZAMu,0,9,Cashmere Cat,62,2017-04-28,215670,0.494,0.42,0.636,0.0,0.122,-7.216,0.22,156.104,5,1
83,Traicionera,5J1c3M4EldCfNxXwrwt8mT,0,Traicionera,Sebastian Yatra,87,2016-06-24,228466,0.142,0.776,0.669,0.0,0.219,-4.933,0.0638,91.012,4,1
84,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,70,Sunset Lover,Petit Biscuit,69,2015,237792,0.729,0.783,0.467,0.809,0.109,-9.474,0.0503,90.838,4,1
85,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,71,Savage Mode,21 Savage,90,2016-07-15,258880,0.373,0.835,0.413,0.00133,0.101,-9.81,0.396,149.004,4,1
86,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,76,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,65,2016-06-17,177184,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4,1
87,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,0,ANTI,Rihanna,92,2016-01-28,191600,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4,1
88,7 Years,7129iqBafaphfc3WPCGC0L,49,Lukas Graham (Blue Album),Lukas Graham,76,2015-06-16,237300,0.29,0.742,0.479,0.0,0.391,-5.83,0.0551,119.951,4,1
89,Juju on That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd,57,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,45,2016-09-30,144244,0.00381,0.807,0.887,0.0,0.391,-3.892,0.275,160.517,4,1
90,All Time Low,1CnPYaKxTVb4LWOtiGOm0m,70,The Human Condition,Jon Bellion,73,2016-06-10,217603,0.0584,0.617,0.567,0.0,0.0933,-4.188,0.0828,90.246,4,1
91,Capsize,2XMTqoHHSH0lvuXrvIEdco,66,Truce - EP,FRENSHIP,60,2016-09-02,237706,0.0398,0.683,0.708,0.155,0.686,-6.244,0.0305,92.991,4,1
92,Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,1,25,Adele,90,2016-06-24,223080,0.0415,0.69,0.524,3.16e-06,0.17,-8.39,0.103,164.023,4,1
93,Fast Car,6OZh916QF8XNunWaP97WEZ,1,Fast Car,Jonas Blue,80,2015-12-04,212424,0.453,0.459,0.587,0.0,0.307,-6.983,0.0785,113.901,4,1
94,Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,73,24K Magic,Bruno Mars,93,2016-11-17,261240,0.196,0.578,0.574,0.0,0.083,-6.209,0.0454,174.152,4,1
